Hybridization REF	TCGA-A8-A0A6-01A-12R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.59275
CREB3L1	3.02975
RPS11	0.4325
PNMA1	-0.6525
MMP2	0.172666666666667
C10orf90	-1.53575
ZHX3	-0.881333333333333
ERCC5	0.07675
GPR98	-0.862
RXFP3	0.7195
APBB2	0.9385
PRO0478	-0.918375
KLHL13	0.37275
PRSSL1	-0.1055
PDCL3	0.267
DECR1	-0.497875
SALL1	-4.18033333333333
CADM4	1.04366666666667
RPS18	-0.0782857142857143
HNRPD	-0.477083333333333
CFHR5	0.1014
SLC10A7	0.61425
OR2K2	-0.0695
LMAN1	0.29525
SUHW1	-4.24275
CHD8	-0.403
SUMO1	0.3723
GP1BA	1.8274
DDB1	-0.526333333333333
MYO9B	0.1994
MMP7	7.78075
CRNKL1	0.30675
C9orf45	-0.7565
XAB2	0.317
RTN1	1.979125
KLHL14	-0.758875
TBX10	-1.4465
CENPQ	-1.5625
UTY	-1.6815
ZBTB12	0.166
DTNBP1	-0.0602500000000001
KBTBD8	-0.438666666666667
ZEB1	-0.649333333333333
ZG16	-1.86225
MIER1	0.4788
ADAM5P	-0.984
CHD9	-0.2855625
STK16	0.608
KIAA1486	-0.712
TOB2	0.534583333333333
BANK1	4.50375
OR2V2	-0.063
GRM2	0.0686666666666667
PROSC	0.538
SPIN2B	0.4295
PIR	-2.30466666666667
IPO9	0.0719
EVC	0.852333333333333
CXCL13	6.64883333333333
KIAA1199	-1.3409
SORL1	1.2525
NAT10	0.1075
CHD1	-0.6885
SYN3	-0.82875
SLC22A2	-0.393
SERPINF1	0.418333333333333
WDR34	-0.5935
OR7A17	0.2055
C9orf11	-0.061
RNF216L	-0.3774
LHB	0.0675
STK25	-0.20525
TAOK3	0.79525
LOC152573	-2.0235
C3orf39	0.73525
C14orf108	0.293
CDC25B	-1.76009090909091
BMP3	-0.207
TMEM180	0.133
MAP1LC3C	0.69025
CRYGC	-1.111
POU3F1	-0.9626
C20orf32	-1.8915
CCDC95	-0.276
HIGD1B	4.9545
USP6NL	0.0765
ABCD4	-0.6735
DIMT1L	-0.75475
TEK	1.67425
SLC25A46	-0.752
LARP7	-1.7262
CD160	1.8105
MT1JP	-0.596
PHF20	-0.08475
CPNE4	-0.8255
GTPBP1	-0.4305
RAB33B	1.3515
ALDOC	-2.409125
ZNF212	-0.02975
NUDT1	-0.9735
RFPL2	-1.45775
ZNF83	-0.531833333333333
GDPD5	-0.357625
PDCD4	2.09655
CEP350	0.593
OR10A2	0.3315
CST7	2.33175
CIAO1	-1.20875
SELL	2.58625
OR8J3	0.3745
LTBP4	0.1545
SIRT6	0.2195
CCL19	5.5035
PPIL1	-1.453
GBP7	0.161833333333333
STK17A	-0.4078
ABR	1.0375
OR9G1	0.873
FOXE1	-0.832625
CNGA3	0.5855
GML	0.713
CD38	0.19425
ZDHHC6	0.1435
NEFH	-2.318
CTDSP2	1.13641666666667
PGBD5	-1.06083333333333
CCNY	0.474428571428571
RMND5B	0.205083333333333
ZNF257	-2.30125
FLJ22167	-0.055375
EXOSC7	-0.467166666666667
ROR2	1.31275
MAOA	-0.675125
TNNT3	0.518833333333333
GYPC	-0.49225
C7orf33	1.4865
PLIN	3.23766666666667
LOC90826	-0.244
RNF4	0.1096
F8A1	0.296333333333333
PLEKHG4	-1.3655
GRB2	0.2059
HIST1H2AD	-1.2735
DUS3L	-0.663666666666667
EIF1	-0.096
RP5-1077B9.4	-0.935333333333333
FPGT	0.67575
GDF10	0.126833333333333
COQ9	-0.4365
GCC2	-0.0137142857142857
RARRES3	3.10425
PLXNA1	-0.2242
KIAA0100	0.2349
PMF1	0.86225
FNDC1	5.5405
HS2ST1	-0.173
CRELD2	0.98425
C8G	-1.656
CD82	1.2945
LIM2	-0.9615
UNQ6490	0.376
MMP16	-0.548
DRD3	0.0715
C5orf26	-0.6195
C11orf73	-0.933
PTP4A2	0.660875
OR4M2	0.288
HPCA	-1.107
SEC14L1	0.0108333333333334
CHFR	0.16475
EMILIN1	0.953125
NDUFS4	-0.619
COL18A1	-0.02625
PDZD3	-0.1419
C9orf16	-0.175666666666667
ERBB2IP	0.5295
EMX2	2.67325
FUS	-0.424
TF	-3.2211
CLCN4	-0.434
CXorf56	-0.08975
C11orf72	0.35425
ELAC2	0.0415833333333333
NPR1	-0.11875
ASS1	-0.921333333333333
USP42	0.071625
POLR2J	-0.5365
SEC23IP	0.833
UQCRC1	0.19125
LOC729603	-0.20325
C1orf71	0.02575
POLG	-2.3245
ADAM23	-3.1685
TFR2	-1.3455
RICTOR	-1.0063
MGC39606	1.2895
C19orf55	-0.296875
SNAPC1	-2.02666666666667
GNA11	1.086125
CCDC52	-0.656166666666667
FSIP1	2.921
UPF3A	0.197625
IGSF11	-2.00116666666667
LAGE3	-0.022
CHST6	-2.832
UNC13B	0.43325
TTLL4	-0.334625
ZNF687	0.749125
SDC2	-1.093
COX7A2	-0.27075
LAMB4	-0.1645
FAM24A	0.371
LRRTM3	-1.37016666666667
GPHB5	0.29225
OR4C13	-0.658
EIF3EIP	-0.217214285714286
HABP4	-0.274
TMEM125	3.543
CNTN2	1.149375
ASNSD1	-0.356
FUT4	-0.15825
ACF	-3.78825
LOC158381	0.557
CDH8	0.95225
AGPS	-0.297833333333333
C4orf18	2.509375
PECI	-0.611416666666667
UNG	-0.616625
GSTP1	-1.25525
DCUN1D5	-1.7035
DKFZP564J0863	2.72925
SLC9A3R1	0.715375
BCDO2	-0.25
CHMP7	0.602875
REM2	1.0975
DNHD1	-1.560625
FKBP4	-0.75875
ZNF350	1.34525
MGC11102	-0.41425
BST1	1.38075
KISS1R	1.204
NCR2	0.1685
DEFB125	0.283
UBE2W	0.755375
KRT15	4.726
C10orf99	0.336
SCN11A	0.190125
GFI1	-0.8205
RDHE2	4.25
FHL1	-1.13266666666667
OSGEP	-0.145333333333333
GATA1	-3.6045
SMC6	-1.80175
TTTY14	-1.129
LPIN3	0.095
RPL4	-0.1041
RBPMS	0.1997
PRPF3	0.0075
EMR1	-1.915
SPATA19	0.604
XCR1	0.348
IRX3	2.0213
RBM6	-0.1315
KLF4	1.3936
UNC5CL	0.556
SEBOX	0.5945
BTK	0.749
KRCC1	1.34425
C6orf27	0.6205
SYTL5	-0.6115
PRND	1.213
LOC653319	-1.2935
PIGL	-1.314
HUS1	-0.507333333333333
SFRS6	-0.19875
C17orf77	1.1865
UIMC1	-0.398166666666667
FXYD2	-1.3967
LOC283152	0.4795
ZNF667	-0.7325
ZCCHC12	-1.414
TFEC	4.7417
ATP7B	1.89583333333333
POLD2	-0.996166666666667
RG9MTD1	-0.1
ACOT2	-0.489
HIST1H4I	-2.154875
PPARGC1A	-2.1946
ETFA	-0.2393
POLRMT	-0.15325
ZNF146	0.055875
MIA2	-1.5115
KLHL6	0.803
HOXB5	1.035125
NENF	0.980833333333333
CUGBP1	-0.065
PRSS22	1.16416666666667
CASC4	1.301
CUL4B	-0.0594
CENPJ	-1.5026
PITX1	0.857666666666667
FLJ31033	0.277833333333333
CELSR3	-0.893833333333333
ZNF568	-0.2395
ITSN1	-0.40875
EHBP1L1	-0.518166666666667
C19orf2	-0.4825
DCTN1	0.28925
LIN28B	-3.83366666666667
TNKS2	-0.554
C1QBP	-0.396625
CADPS2	2.4065
SRMS	0.70975
GJA9	0.1615
MGC24975	-0.861333333333333
TRIM45	2.7065
TSP50	0.589
TCP1	-1.3635
TMED7	0.4318
CMA1	1.006
CENPL	-0.866166666666667
PTCRA	0.324
FST	-3.35075
VWCE	-3.9455
PAWR	-0.69175
ABCC12	3.3795
LDLR	-1.5319
ASTN2	0.8865
LOC441212	-1.107
GPATCH8	-0.0655
TANC2	-0.543333333333333
KIF4A	-2.6025
C18orf18	-1.539
PGM1	-0.64275
KIAA0258	-0.05875
CPD	1.863875
SNCAIP	-0.5945
DCT	-4.2075
HLA-DOA	3.91318181818182
OR11L1	0.7965
UPK1B	-1.01933333333333
DNAJB4	-0.651125
UGT1A8	-0.79175
HIST1H4L	-1.8105
PECR	-0.996333333333333
HSPA2	1.5855
WFIKKN1	-1.9355
SERP1	0.82575
SYDE2	-0.5435
TACR2	0.6925
NUP85	-0.88025
CD177	-0.493333333333333
LGR5	-2.61866666666667
PIGG	0.644583333333333
PTHR1	-2.15566666666667
RAB5A	0.4363
FLJ13224	0.073
USP9Y	-2.103
C7orf53	-0.564
LRP1B	3.61
XAF1	1.623
ABCG8	-0.6435
ANKDD1A	-0.1585
DAND5	-2.2365
SPAG6	0.746
LINCR	1.4665
ZDHHC22	-2.081125
CCDC60	-0.292
THOC7	-1.29783333333333
TCTA	0.7171
OR8K3	-0.093
NY-REN-7	-0.829
B2M	3.33466666666667
C6orf141	-3.0555
LPPR4	1.74525
SQLE	-1.572
SEPHS1	-0.88325
BTBD14B	0.5275
PLRG1	-0.335
SPG7	-0.310125
ZNF614	-0.829333333333333
PARD6G	0.914666666666667
INPP5B	-0.7172
GRPEL2	-0.521375
PPID	-0.6604
TRIM56	0.29375
UBE2J1	0.214875
IL20RA	4.9655
LOC387856	1.10375
C1orf107	0.396166666666667
UTS2R	1.4405
C19orf22	0.19375
SAFB2	-0.10125
KIAA0652	0.7675
KLRG1	0.465166666666667
MS4A8B	0.911833333333333
FRAG1	0.76425
KIAA1546	0.47125
E2F4	-0.9906
CLEC4M	0.632
BTBD14A	-1.48975
KIAA0999	0.1608
GYPA	-4.0645
TAC1	2.1125
TRAIP	-1.7035
KIAA0232	1.4485
ERCC8	-1.368125
GPX4	0.772
KIAA0368	0.127
GPR157	-0.027
CTAGE4	1.366
C9orf30	-1.25983333333333
OR52A1	-0.207
HSP90B3P	0.343
ALG9	-0.697
BTBD10	1.26025
SDK2	0.15675
BAIAP3	-0.6715
RABGGTB	-0.946
ANKRD40	-0.274833333333333
KRT74	1.0635
CALCOCO2	0.670785714285714
SNCA	-2.4295
TMSL8	-4.045875
C2orf53	0.66
ESRRB	-0.67175
ARHGAP26	-1.1515
TDRD9	-2.50025
HRAS	1.15283333333333
KLRC4	-1.839
JAGN1	-0.146
BSDC1	0.769
RNF43	0.443
NDUFAF1	0.95375
PHF12	0.2265
OR1L3	0.11475
FOLR2	2.55341666666667
LYZL6	0.4425
tcag7.1260	-1.3405
WSB1	-1.72433333333333
PROS1	-0.3426
OSTN	0.612
PSMB8	1.56175
SOCS4	-0.593875
DDIT4L	1.2385
MAS1	0.683
MGC34796	1.49025
CSHL1	0.703833333333333
TBCCD1	0.0896666666666667
ZBTB7C	0.7555
AP2S1	-0.872
P15RS	-0.2214
VAT1	-0.2959
SHANK3	1.14133333333333
TUFM	0.174666666666667
THEG	-0.025
KRT34	-2.439
SGSM3	0.2645
TOMM22	-0.64275
SOCS3	0.916833333333333
CPO	0.915
POP4	0.21175
BHLHB3	2.257
MALL	1.7
OR1B1	0.3655
PARK2	1.68283333333333
GPR124	0.648125
LCE1E	0.216
RUVBL2	-0.585
CGRRF1	0.1689
ACPL2	1.105
WNT10B	-1.89975
BAIAP2L2	-2.2805
ISCA1	0.2185
C1orf125	0.108625
RPAP1	-0.62075
RAI16	0.0848333333333333
RPL27	-0.54725
NLRP9	0.3795
EPN1	0.604
LOC388610	-0.577875
SLC35A1	0.6946
GAL	-4.1625
SLC14A2	0.49825
RDH11	-0.692333333333333
FAM138F	-0.7645
AUH	0.19625
FLJ40243	0.3345
C14orf129	-0.137833333333333
MBD2	-0.510833333333333
ABHD14B	0.2295
PIGT	0.15925
ALS2CR4	-0.0413749999999999
ALAS1	0.4227
FOXO1	1.0905
CRLF3	-0.23925
