Hybridization REF	TCGA-BH-A0E1-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.328166666666667
CREB3L1	2.56925
RPS11	0.44075
PNMA1	-0.05025
MMP2	-0.0816666666666667
C10orf90	-1.814
ZHX3	-0.256333333333333
ERCC5	0.1325
GPR98	-0.00775000000000003
RXFP3	0.6855
APBB2	1.2975
PRO0478	-1.154375
KLHL13	-0.64325
PRSSL1	-1.07333333333333
PDCL3	0.316666666666667
DECR1	-0.44425
SALL1	-3.44716666666667
CADM4	1.71433333333333
RPS18	0.0235714285714286
HNRPD	-0.484166666666667
CFHR5	0.7988
SLC10A7	0.189625
OR2K2	-0.241
LMAN1	0.329375
SUHW1	-3.791
CHD8	-0.0287
SUMO1	0.2232
GP1BA	0.00889999999999997
DDB1	-0.155833333333333
MYO9B	-0.1288
MMP7	6.81875
CRNKL1	-0.329125
C9orf45	-2.35933333333333
XAB2	0.739125
RTN1	2.356375
KLHL14	-0.884875
TBX10	-0.836
CENPQ	-1.3825
UTY	-0.706384615384615
ZBTB12	0.2365
DTNBP1	-0.424375
KBTBD8	-2.0505
ZEB1	0.867666666666667
ZG16	-2.1395
MIER1	0.7889
ADAM5P	0.935
CHD9	-0.2383125
STK16	1.694
KIAA1486	-0.1985
TOB2	0.989833333333333
BANK1	0.05925
OR2V2	-0.31775
GRM2	0.346333333333333
PROSC	0.3585
SPIN2B	-0.397
PIR	-2.43611111111111
IPO9	0.3233
EVC	1.048
CXCL13	4.01166666666667
KIAA1199	-2.6594
SORL1	-0.28375
NAT10	-0.6275
CHD1	-0.7645
SYN3	-0.941
SLC22A2	-0.66025
SERPINF1	-0.092
WDR34	0.21475
OR7A17	0.26975
C9orf11	-0.2195
RNF216L	-0.4998
LHB	0.0745
STK25	-0.107375
TAOK3	0.428875
LOC152573	-3.09175
C3orf39	0.632875
C14orf108	0.0093
CDC25B	-1.93481818181818
BMP3	0.438
TMEM180	-0.481
MAP1LC3C	1.02625
CRYGC	-0.5765
POU3F1	-1.4998
C20orf32	-1.456
CCDC95	-0.4205
HIGD1B	5.2795
USP6NL	-0.022625
ABCD4	-0.814
DIMT1L	-0.586083333333333
TEK	1.641625
SLC25A46	-0.91925
LARP7	-1.6751
CD160	-0.2405
MT1JP	-0.150666666666667
PHF20	-0.38625
CPNE4	-1.0065
GTPBP1	-0.0390714285714286
RAB33B	0.761666666666667
ALDOC	-2.869
ZNF212	-0.5805
NUDT1	-1.2625
RFPL2	-2.88675
ZNF83	-0.4355
GDPD5	0.03925
PDCD4	1.1106
CEP350	0.4885
OR10A2	0.21425
CST7	-0.724
CIAO1	-0.92675
SELL	0.3695
OR8J3	0.2345
LTBP4	-0.278
SIRT6	0.314
CCL19	4.09775
PPIL1	-1.75833333333333
GBP7	0.0171666666666667
STK17A	-1.4687
ABR	0.644
OR9G1	0.452
FOXE1	-0.91275
CNGA3	-0.5935
GML	0.023
CD38	-4.0145
ZDHHC6	-0.079
NEFH	-2.476
CTDSP2	0.640916666666667
PGBD5	-1.63866666666667
CCNY	0.119142857142857
RMND5B	0.379
ZNF257	-0.6635
FLJ22167	-0.646375
EXOSC7	-0.79
ROR2	1.81775
MAOA	0.236125
TNNT3	1.1985
GYPC	-1.51325
C7orf33	0.143
PLIN	-0.375833333333333
LOC90826	-0.2805
RNF4	-0.00689999999999999
F8A1	-0.0623333333333333
PLEKHG4	-2.16
GRB2	-0.06475
HIST1H2AD	0.34475
DUS3L	-0.614333333333333
EIF1	-0.298833333333333
RP5-1077B9.4	-1.26466666666667
FPGT	1.4725
GDF10	-0.205166666666667
COQ9	-0.495
GCC2	0.305642857142857
RARRES3	2.7995
PLXNA1	-0.4479
KIAA0100	0.0234
PMF1	0.6825
FNDC1	5.25975
HS2ST1	-0.074
CRELD2	2.27425
C8G	-2.2595
CD82	1.0525
LIM2	-1.226
UNQ6490	0.4795
MMP16	1.4335
DRD3	-0.229
C5orf26	-0.71625
C11orf73	-0.506
PTP4A2	1.00525
OR4M2	0.779
HPCA	-0.644833333333333
SEC14L1	-0.871166666666667
CHFR	-0.56725
EMILIN1	0.699375
NDUFS4	-0.74275
COL18A1	0.580875
PDZD3	-0.451
C9orf16	0.2035
ERBB2IP	0.0655
EMX2	3.06075
FUS	-0.93225
TF	-4.1176
CLCN4	-0.680333333333333
CXorf56	-0.0785
C11orf72	-0.29875
ELAC2	-0.512583333333333
NPR1	-0.167
ASS1	-1.0595
USP42	-0.318625
POLR2J	-0.853
SEC23IP	1.15316666666667
UQCRC1	0.31075
LOC729603	-0.81425
C1orf71	0.5995
POLG	-1.2445
ADAM23	-3.17575
TFR2	-0.7725
RICTOR	-1.5356
MGC39606	1.034
C19orf55	-0.4525
SNAPC1	-2.099
GNA11	0.98475
CCDC52	-0.286333333333333
FSIP1	4.402
UPF3A	0.020375
IGSF11	-2.949
LAGE3	-0.27675
CHST6	-3.003
UNC13B	0.310875
TTLL4	-1.248125
ZNF687	0.53475
SDC2	0.4564
COX7A2	0.126
LAMB4	-0.257333333333333
FAM24A	0.6685
