Hybridization REF	TCGA-BH-A0B1-01A-12R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.57475
CREB3L1	0.3255
RPS11	0.217375
PNMA1	0.1195
MMP2	1.59783333333333
C10orf90	-2.36125
ZHX3	-0.391
ERCC5	-0.742
GPR98	-0.402375
RXFP3	0.3325
APBB2	1.93725
PRO0478	-1.262375
KLHL13	-1.71475
PRSSL1	-0.885166666666667
PDCL3	0.516666666666667
DECR1	1.2355
SALL1	-4.11566666666667
CADM4	1.37916666666667
RPS18	-0.443785714285714
HNRPD	-0.0304166666666667
CFHR5	1.1485
SLC10A7	0.587875
OR2K2	-0.418
LMAN1	-0.219125
SUHW1	-4.02075
CHD8	-0.3208
SUMO1	0.5878
GP1BA	0.0619
DDB1	-0.289833333333333
MYO9B	-0.5893
MMP7	6.835
CRNKL1	0.531
C9orf45	-2.43
XAB2	0.048125
RTN1	2.2685
KLHL14	-0.66
TBX10	-0.843
CENPQ	-0.83525
UTY	-0.901571428571429
ZBTB12	1.0805
DTNBP1	-0.22875
KBTBD8	-1.74733333333333
ZEB1	1.55633333333333
ZG16	-1.67475
MIER1	0.4782
ADAM5P	0.4635
CHD9	0.068875
STK16	0.98775
KIAA1486	-0.112
TOB2	0.0565
BANK1	2.5785
OR2V2	0.43025
GRM2	-0.0155
PROSC	1.825125
SPIN2B	-0.31775
PIR	-1.32577777777778
IPO9	-0.1683
EVC	0.629333333333333
CXCL13	8.0075
KIAA1199	-2.27611111111111
SORL1	-0.36025
NAT10	-0.79675
CHD1	-0.4775
SYN3	-0.71675
SLC22A2	-1.48575
SERPINF1	0.697666666666667
WDR34	-0.512
OR7A17	0.1185
C9orf11	-0.12
RNF216L	-0.3483
LHB	-0.093
STK25	-0.396125
TAOK3	0.9305
LOC152573	-2.121
C3orf39	0.769875
C14orf108	-0.3171
CDC25B	-1.46563636363636
BMP3	1.288
TMEM180	0.0345
MAP1LC3C	0.86975
CRYGC	-0.433
POU3F1	-1.4863
C20orf32	-2.237
CCDC95	-0.013
HIGD1B	4.44125
USP6NL	-0.027375
ABCD4	-0.629166666666667
DIMT1L	-0.864
TEK	1.78575
SLC25A46	-0.204
LARP7	-1.4825
CD160	0.575666666666667
MT1JP	-0.437833333333333
PHF20	0.2063125
CPNE4	-1.14625
GTPBP1	-0.820214285714286
RAB33B	0.801666666666667
ALDOC	-2.7355
ZNF212	-0.25525
NUDT1	-1.23616666666667
RFPL2	0.0945
ZNF83	0.536833333333333
GDPD5	-1.4565
PDCD4	1.62985
CEP350	-0.0765
OR10A2	0.267
CST7	0.69425
CIAO1	-0.91675
SELL	2.4525
OR8J3	-0.4365
LTBP4	-0.4795
SIRT6	-0.4805
CCL19	4.9465
PPIL1	-0.614333333333333
GBP7	-0.2195
STK17A	-0.3443
ABR	-0.10525
OR9G1	0.2665
FOXE1	-0.789
CNGA3	0.9255
GML	0.3955
CD38	-2.9815
ZDHHC6	-0.432833333333333
NEFH	0.3935
CTDSP2	0.776416666666667
PGBD5	-1.26516666666667
CCNY	0.313071428571429
RMND5B	0.567
ZNF257	-1.174
FLJ22167	-1.26225
EXOSC7	-0.364666666666667
ROR2	1.172875
MAOA	0.746125
TNNT3	0.8005
GYPC	-1.15675
C7orf33	0.9115
PLIN	3.08916666666667
LOC90826	-0.44875
RNF4	0.1595
F8A1	0.212333333333333
PLEKHG4	-2.094
GRB2	0.46695
HIST1H2AD	0.836
DUS3L	-1.07383333333333
EIF1	-0.1335
RP5-1077B9.4	-1.318
FPGT	2.21
GDF10	0.722833333333333
COQ9	-0.39975
GCC2	0.585285714285714
RARRES3	3.62975
PLXNA1	-0.6378
KIAA0100	-0.4459
PMF1	0.104
FNDC1	5.40375
HS2ST1	0.103166666666667
CRELD2	0.47175
C8G	-1.38
CD82	2.0535
LIM2	-1.3585
UNQ6490	0.523
MMP16	0.08125
DRD3	0.194
C5orf26	-0.85675
C11orf73	-0.32875
PTP4A2	1.297125
OR4M2	-0.444
HPCA	-0.390833333333333
SEC14L1	-0.656
CHFR	-0.241125
EMILIN1	0.59025
NDUFS4	-0.82225
COL18A1	0.12625
PDZD3	-0.0794
C9orf16	-0.180666666666667
ERBB2IP	0.612333333333333
EMX2	3.3575
FUS	-0.55025
TF	-4.1147
CLCN4	-0.0245
CXorf56	1.04775
C11orf72	0.389
ELAC2	-0.746666666666667
NPR1	-0.813
ASS1	-2.8845
USP42	0.213875
POLR2J	-0.4955
SEC23IP	-0.00466666666666666
UQCRC1	0.15325
LOC729603	-0.66475
C1orf71	0.535125
POLG	-2.214
ADAM23	-2.8125
TFR2	-1.43175
RICTOR	-1.1871
MGC39606	-0.16
C19orf55	-0.147875
SNAPC1	-1.52866666666667
GNA11	0.565625
CCDC52	0.336833333333333
FSIP1	5.24
