Hybridization REF	TCGA-BH-A0H9-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	1.2175
CREB3L1	1.5485
RPS11	-0.00649999999999999
PNMA1	0.83475
MMP2	-0.052
C10orf90	-1.681
ZHX3	0.4245
ERCC5	-0.2325
GPR98	-0.34525
RXFP3	0.6665
APBB2	2.4535
PRO0478	-1.357625
KLHL13	-1.965
PRSSL1	-0.656666666666667
PDCL3	0.146666666666667
DECR1	0.144375
SALL1	-4.1836
CADM4	0.548
RPS18	0.117857142857143
HNRPD	-0.549083333333333
CFHR5	1.05525
SLC10A7	0.28475
OR2K2	-1.0705
LMAN1	-1.172125
SUHW1	-3.53075
CHD8	0.0708
SUMO1	0.6432
GP1BA	0.2873
DDB1	0.628
MYO9B	-0.1716
MMP7	6.1075
CRNKL1	0.789125
C9orf45	-1.3695
XAB2	0.424375
RTN1	2.74075
KLHL14	-1.500625
TBX10	-0.5625
CENPQ	-1.87875
UTY	-0.808333333333333
ZBTB12	0.5075
DTNBP1	-0.209375
KBTBD8	-1.5905
ZEB1	0.4615
ZG16	-1.548
MIER1	0.493
ADAM5P	-0.522
CHD9	0.1084375
STK16	1.06925
KIAA1486	-0.5325
TOB2	1.44383333333333
BANK1	2.2655
OR2V2	0.57375
GRM2	0.0833333333333333
PROSC	0.1905
SPIN2B	0.5625
PIR	-3.08544444444444
IPO9	0.115
EVC	0.247
CXCL13	2.0175
KIAA1199	-2.0034
SORL1	1.68525
NAT10	-0.37525
CHD1	-0.73725
SYN3	-1.06925
SLC22A2	-1.39575
SERPINF1	0.351
WDR34	-0.2775
OR7A17	0.12125
C9orf11	-0.264
RNF216L	-0.8771
LHB	0.1325
STK25	0.00775
TAOK3	0.086125
LOC152573	-2.2835
C3orf39	0.78475
C14orf108	0.5247
CDC25B	-0.574909090909091
BMP3	-0.4355
TMEM180	0.4715
MAP1LC3C	0.35225
CRYGC	-1.9785
POU3F1	-1.6815
C20orf32	-1.7155
CCDC95	-0.4855
HIGD1B	3.725
USP6NL	-0.185875
ABCD4	-0.1625
DIMT1L	-0.798833333333333
TEK	1.135125
SLC25A46	-0.96975
LARP7	-1.657
CD160	-0.153833333333333
MT1JP	-1.68883333333333
PHF20	1.7134375
CPNE4	0.726
GTPBP1	-0.487571428571429
RAB33B	0.299666666666667
ALDOC	-2.764875
ZNF212	-0.323
NUDT1	-0.995833333333333
RFPL2	-0.8225
ZNF83	-0.3795
GDPD5	-0.26325
PDCD4	1.2259
CEP350	-0.05475
OR10A2	0.08225
CST7	0.2425
CIAO1	-0.213
SELL	1.54425
OR8J3	-0.226
LTBP4	-0.529833333333333
SIRT6	0.264
CCL19	4.42425
PPIL1	-0.9245
GBP7	0.5974
STK17A	-0.8131
ABR	0.513
OR9G1	0.025
FOXE1	-0.473875
CNGA3	0.433
GML	0.861
CD38	-3.66525
ZDHHC6	-0.140333333333333
NEFH	-1.03775
CTDSP2	0.0365
PGBD5	-1.503
CCNY	0.133
RMND5B	0.82625
ZNF257	0.6585
FLJ22167	0.0925
EXOSC7	-0.445833333333333
ROR2	0.53975
MAOA	-0.004125
TNNT3	1.13566666666667
GYPC	-1.56375
C7orf33	0.82
PLIN	3.99233333333333
LOC90826	-0.67625
RNF4	-0.1146
F8A1	-0.231666666666667
PLEKHG4	-3.3
GRB2	-0.0729
HIST1H2AD	-0.5155
DUS3L	-0.967
EIF1	-0.211166666666667
RP5-1077B9.4	-1.02066666666667
FPGT	1.8685
GDF10	0.324333333333333
COQ9	0.5045
GCC2	-0.167571428571429
RARRES3	2.09575
PLXNA1	-0.3977
KIAA0100	0.0259
PMF1	-0.06525
FNDC1	5.19075
HS2ST1	-0.188333333333333
CRELD2	0.38575
C8G	-1.778
CD82	-0.022
LIM2	-0.9615
UNQ6490	-0.2005
