Hybridization REF	TCGA-BH-A0B9-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0466666666666667
CREB3L1	0.065
RPS11	1.100375
PNMA1	-1.05375
MMP2	-0.9985
C10orf90	-1.985
ZHX3	-1.393
ERCC5	0.76625
GPR98	-0.559375
RXFP3	0.404
APBB2	-0.045
PRO0478	-1.183875
KLHL13	-2.16025
PRSSL1	-0.768
PDCL3	0.218666666666667
DECR1	-1.34825
SALL1	-4.27066666666667
CADM4	0.576333333333333
RPS18	1.30392857142857
HNRPD	-0.17225
CFHR5	0.611
SLC10A7	0.019625
OR2K2	0.4055
LMAN1	-1.010125
SUHW1	-2.449
CHD8	-0.9761
SUMO1	0.8578
GP1BA	1.7752
DDB1	-0.303
MYO9B	0.3006
MMP7	8.17725
CRNKL1	-0.516125
C9orf45	-1.28116666666667
XAB2	-0.247875
RTN1	1.298125
KLHL14	-2.172875
TBX10	-0.9655
CENPQ	-0.73125
UTY	-1.472
ZBTB12	0.2445
DTNBP1	-0.46225
KBTBD8	-0.884166666666667
ZEB1	-1.5485
ZG16	-0.942
MIER1	0.5113
ADAM5P	0.469
CHD9	-0.3498125
STK16	1.37325
KIAA1486	-0.21
TOB2	0.15425
BANK1	3.7445
OR2V2	0.106
GRM2	0.104166666666667
PROSC	-0.242625
SPIN2B	0.459
PIR	-1.73233333333333
IPO9	0.4505
EVC	0.0328333333333334
CXCL13	6.919
KIAA1199	-2.8712
SORL1	1.1945
NAT10	0.183
CHD1	-1.2505
SYN3	-1.21
SLC22A2	-0.4845
SERPINF1	-0.755666666666667
WDR34	-0.65325
OR7A17	0.154
C9orf11	0.573
RNF216L	-0.914
LHB	0.084
STK25	0.152625
TAOK3	0.8165
LOC152573	-2.69875
C3orf39	-0.368375
C14orf108	-0.3829
CDC25B	-1.44618181818182
BMP3	-0.2725
TMEM180	0.4085
MAP1LC3C	0.10625
CRYGC	-0.6045
POU3F1	-1.0384
C20orf32	-1.2705
CCDC95	-0.0195
HIGD1B	2.56925
USP6NL	0.59375
ABCD4	-0.962666666666667
DIMT1L	-0.25225
TEK	-0.0805
SLC25A46	-0.9805
LARP7	-1.2667
CD160	0.703166666666667
MT1JP	0.441833333333333
PHF20	0.7160625
CPNE4	-1.4955
GTPBP1	-0.793571428571428
RAB33B	1.2
ALDOC	-1.337
ZNF212	0.186
NUDT1	-0.418666666666667
RFPL2	0.06525
ZNF83	-0.138333333333333
GDPD5	0.1775
PDCD4	1.828
CEP350	-0.08075
OR10A2	0.54475
CST7	2.13325
CIAO1	-0.22175
SELL	2.34125
OR8J3	0.0035
LTBP4	-0.464833333333333
SIRT6	0.07
CCL19	5.4055
PPIL1	-0.896333333333333
GBP7	0.383666666666667
STK17A	-0.7776
ABR	-0.64575
OR9G1	0.4515
FOXE1	-0.80025
CNGA3	0.597
GML	-0.015
CD38	-0.759
ZDHHC6	0.553
NEFH	-2.66725
CTDSP2	1.03641666666667
PGBD5	-0.0753333333333333
CCNY	1.02792857142857
RMND5B	0.0535
ZNF257	-0.6385
FLJ22167	0.32125
EXOSC7	-0.950333333333333
ROR2	-0.366625
MAOA	-2.248375
TNNT3	1.7675
GYPC	0.384
C7orf33	1.1065
PLIN	0.787333333333333
LOC90826	-0.00975
RNF4	-0.4791
F8A1	0.200333333333333
PLEKHG4	0.33925
GRB2	-0.1438
HIST1H2AD	-1.813
DUS3L	-0.3585
EIF1	-1.2085
RP5-1077B9.4	-0.345333333333333
FPGT	0.5915
GDF10	0.694833333333333
COQ9	0.6975
GCC2	-0.207142857142857
RARRES3	2.912125
