Hybridization REF	TCGA-BH-A0H7-01A-13R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	0.245166666666667
CREB3L1	1.80375
RPS11	0.128375
PNMA1	0.25925
MMP2	1.70516666666667
C10orf90	-1.5595
ZHX3	-0.0475
ERCC5	-0.5345
GPR98	0.284875
RXFP3	0.503
APBB2	1.4695
PRO0478	-1.153875
KLHL13	-1.119
PRSSL1	-0.622
PDCL3	1.25383333333333
DECR1	1.339125
SALL1	-2.2555
CADM4	-0.0403333333333333
RPS18	0.0360000000000001
HNRPD	-0.504333333333333
CFHR5	-1.23633333333333
SLC10A7	-0.167142857142857
OR2K2	0.247
LMAN1	-0.929
SUHW1	-4.13175
CHD8	-0.0068
SUMO1	1.0751
GP1BA	0.1584
DDB1	-0.0515
MYO9B	-0.4689
MMP7	7.085
CRNKL1	1.084
C9orf45	-1.46733333333333
XAB2	0.12675
RTN1	1.40375
KLHL14	-1.775875
TBX10	-0.6545
CENPQ	-0.48025
UTY	-1.64269230769231
ZBTB12	-0.0995
DTNBP1	0.144
KBTBD8	-1.4515
ZEB1	0.240833333333333
ZG16	-1.107
MIER1	0.2095
ADAM5P	-0.7565
CHD9	-0.5124375
STK16	1.08925
KIAA1486	-0.195
TOB2	-0.1815
BANK1	3.1145
OR2V2	0.0965
GRM2	0.028
PROSC	1.285625
SPIN2B	-0.39575
PIR	-1.10911111111111
IPO9	-0.2
EVC	0.695
CXCL13	4.28066666666667
KIAA1199	-1.0432
SORL1	1.09325
NAT10	-0.167
CHD1	-0.971
SYN3	-0.20325
SLC22A2	-0.27575
SERPINF1	1.51716666666667
WDR34	0.02375
OR7A17	0.042
C9orf11	-1.4445
RNF216L	-0.4497
LHB	0.3845
STK25	0.069125
TAOK3	0.87775
LOC152573	-3.09575
C3orf39	0.269875
C14orf108	-0.2887
CDC25B	-0.187
BMP3	0.015
TMEM180	0.1835
MAP1LC3C	0.734
CRYGC	-2.1755
POU3F1	-1.1345
C20orf32	-1.5735
CCDC95	-0.337
HIGD1B	4.638
USP6NL	-0.0695
ABCD4	-0.607333333333333
DIMT1L	-0.766833333333333
TEK	0.6625
SLC25A46	-0.22475
LARP7	-2.1399
CD160	0.914666666666667
MT1JP	-0.406333333333333
PHF20	0.170375
CPNE4	-1.835
GTPBP1	-0.573857142857143
RAB33B	1.55016666666667
ALDOC	-2.509125
ZNF212	-0.03775
NUDT1	-0.631833333333333
RFPL2	1.22325
ZNF83	-0.346333333333333
GDPD5	0.544125
PDCD4	2.4643
CEP350	-0.52475
OR10A2	0.4605
CST7	0.76375
CIAO1	-0.57125
SELL	1.107875
OR8J3	-0.0345
LTBP4	-0.105166666666667
SIRT6	-0.2635
CCL19	5.09575
PPIL1	-0.117333333333333
GBP7	0.0511666666666667
STK17A	-0.6581
ABR	0.1565
OR9G1	-0.032
FOXE1	-0.869375
CNGA3	0.927
GML	0.1295
CD38	-3.42975
ZDHHC6	-0.52
NEFH	-0.64025
CTDSP2	1.18008333333333
PGBD5	-0.807333333333333
CCNY	0.403571428571429
RMND5B	0.7905
ZNF257	-0.92425
FLJ22167	-0.390375
EXOSC7	-0.699166666666667
ROR2	2.001
MAOA	-1.92875
TNNT3	0.2
GYPC	-0.79275
C7orf33	0.5945
PLIN	0.751166666666667
LOC90826	-1.129
RNF4	-0.4533
F8A1	0.447
PLEKHG4	-1.46625
GRB2	0.0233
HIST1H2AD	0.31625
DUS3L	-0.868666666666667
EIF1	-0.276333333333333
RP5-1077B9.4	-1.048
FPGT	1.524
GDF10	-0.493666666666667
COQ9	0.0865
GCC2	-0.276785714285714
RARRES3	3.206125
PLXNA1	-0.4623
KIAA0100	-0.2138
PMF1	0.1895
FNDC1	5.661
HS2ST1	0.561333333333333
CRELD2	1.14925
C8G	-2.0785
CD82	1.645
LIM2	-1.1315
UNQ6490	-0.571
MMP16	0.36975
DRD3	-0.124
C5orf26	-0.3205
C11orf73	-0.424
PTP4A2	1.244625
OR4M2	0.5465
HPCA	-1.072
SEC14L1	-0.9325
CHFR	0.314125
EMILIN1	1.729875
NDUFS4	-0.0755
COL18A1	0.734875
PDZD3	0.1263
C9orf16	0.458833333333333
ERBB2IP	0.3095
EMX2	4.5115
FUS	-0.541
TF	-3.7724
CLCN4	-0.456833333333333
CXorf56	-0.00275
C11orf72	0.59175
ELAC2	-0.734083333333333
NPR1	-0.6815
ASS1	-0.7895
USP42	-0.17325
POLR2J	-0.79
SEC23IP	0.399666666666667
UQCRC1	0.57475
LOC729603	-0.6965
C1orf71	-0.24675
POLG	-2.3485
ADAM23	-2.60575
TFR2	-1.49525
RICTOR	-1.6607
MGC39606	0.44475
C19orf55	-0.4865
SNAPC1	-1.6425
GNA11	0.709875
CCDC52	-0.373333333333333
FSIP1	4.916
UPF3A	-0.463625
IGSF11	-1.8805
LAGE3	1.154
CHST6	-0.275
UNC13B	-0.614875
TTLL4	-0.86725
ZNF687	0.654375
SDC2	0.1255
COX7A2	-0.731
LAMB4	-0.61325
FAM24A	-0.2015
LRRTM3	-0.673333333333333
GPHB5	-0.009
OR4C13	-0.6515
EIF3EIP	-0.140785714285714
HABP4	-0.1665
TMEM125	3.44375
CNTN2	0.03275
ASNSD1	0.242
FUT4	-0.432125
ACF	-3.5775
LOC158381	0.154
CDH8	-0.885
AGPS	-1.51
C4orf18	3.281375
PECI	-0.99175
UNG	0.664125
GSTP1	-1.476375
DCUN1D5	-1.30533333333333
DKFZP564J0863	-0.2995
SLC9A3R1	2.2825
BCDO2	-1.63075
CHMP7	0.029875
REM2	-0.098
DNHD1	-0.882125
FKBP4	0.263875
ZNF350	2.38675
MGC11102	0.400375
BST1	1.48175
KISS1R	1.62
NCR2	0.962
DEFB125	-0.299
UBE2W	2.349375
KRT15	2.21225
C10orf99	0.354
SCN11A	-0.151375
GFI1	-2.796
RDHE2	4.05433333333333
FHL1	-1.3445
OSGEP	0.268166666666667
GATA1	-3.21133333333333
SMC6	-1.7865
TTTY14	-1.026
LPIN3	-0.16075
RPL4	-0.9424
RBPMS	-0.0991
PRPF3	-1.32633333333333
EMR1	-2.342
SPATA19	0.32825
XCR1	0.9515
IRX3	1.9045
RBM6	-1.2865
KLF4	-0.7951
UNC5CL	-1.599
SEBOX	-0.166
BTK	-1.01225
KRCC1	0.8115
C6orf27	0.5655
SYTL5	-1.301
PRND	1.484125
LOC653319	-1.233
PIGL	0.075875
HUS1	-0.698666666666667
SFRS6	0.00541666666666666
C17orf77	0.4135
UIMC1	-0.7945
FXYD2	-1.9642
LOC283152	-0.084
ZNF667	-1.29625
ZCCHC12	-0.6135
TFEC	1.9475
ATP7B	2.21416666666667
POLD2	-1.01733333333333
RG9MTD1	-0.1
ACOT2	0.837833333333333
HIST1H4I	-0.27025
PPARGC1A	-1.8956
ETFA	-1.5463
POLRMT	-0.958
ZNF146	-0.19725
MIA2	-2.2505
KLHL6	-1.62583333333333
HOXB5	0.231
NENF	0.789666666666667
CUGBP1	-0.222
PRSS22	2.19066666666667
CASC4	1.4224
CUL4B	0.4219
CENPJ	-1.8725
PITX1	0.3055
FLJ31033	0.963166666666667
CELSR3	-0.1615
ZNF568	1.124
ITSN1	-0.576916666666667
EHBP1L1	-1.14216666666667
C19orf2	-0.303
DCTN1	0.54075
LIN28B	-3.52183333333333
TNKS2	-0.5095
C1QBP	-0.585
CADPS2	1.41275
SRMS	0.013
GJA9	0.3155
MGC24975	-1.32216666666667
TRIM45	-0.0581666666666667
TSP50	-0.5605
TCP1	-1.6725
TMED7	0.7238
CMA1	1.0315
CENPL	-0.542666666666667
PTCRA	0.1845
FST	-2.74625
VWCE	-3.05375
PAWR	-0.51575
ABCC12	-0.1538
LDLR	0.2144
ASTN2	1.1347
LOC441212	-1.1575
GPATCH8	-0.7305
TANC2	-0.232583333333333
KIF4A	-1.864
C18orf18	-0.61375
PGM1	-0.99675
KIAA0258	-0.79575
CPD	0.95625
SNCAIP	-0.67575
DCT	-3.92166666666667
HLA-DOA	2.31531818181818
OR11L1	0.641
UPK1B	-0.110166666666667
DNAJB4	-0.473375
UGT1A8	-0.7665
HIST1H4L	-1.4945
PECR	-0.184166666666667
HSPA2	2.7235
WFIKKN1	-2.9775
SERP1	0.831375
SYDE2	1.918
TACR2	0.975
NUP85	-0.95875
CD177	-0.198
LGR5	-1.83533333333333
PIGG	-0.570416666666667
PTHR1	-0.458333333333333
RAB5A	-0.3033
FLJ13224	-0.092
USP9Y	-1.56066666666667
C7orf53	-1.673
LRP1B	-0.0495
XAF1	0.7962
ABCG8	0.75
ANKDD1A	-0.854166666666667
DAND5	-2.49
SPAG6	0.571833333333333
LINCR	-0.10775
ZDHHC22	1.02075
CCDC60	1.346
THOC7	-1.0675
TCTA	1.6925
OR8K3	0.2545
NY-REN-7	-0.578
B2M	1.84883333333333
C6orf141	0.145
LPPR4	1.8665
SQLE	0.438
SEPHS1	-0.25375
BTBD14B	0.4545
PLRG1	-0.54225
SPG7	-0.1001875
ZNF614	0.665333333333333
PARD6G	1.32066666666667
INPP5B	-0.9513
GRPEL2	0.021625
PPID	-1.011
TRIM56	-0.657
UBE2J1	-0.138
IL20RA	4.351
LOC387856	0.67775
C1orf107	0.837
UTS2R	1.4805
C19orf22	-0.38875
SAFB2	-0.296125
KIAA0652	0.735
KLRG1	-0.984666666666667
MS4A8B	3.1205
FRAG1	1.328
KIAA1546	-0.2705
E2F4	-1.0811
CLEC4M	-0.0394999999999999
BTBD14A	-1.27225
KIAA0999	0.1892
GYPA	-4.07333333333333
TAC1	1.7373
TRAIP	-2.46816666666667
KIAA0232	0.6422
