Hybridization REF	TCGA-BH-A0E2-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.0185
CREB3L1	1.00225
RPS11	1.082
PNMA1	-0.104
MMP2	0.0898333333333333
C10orf90	-1.47066666666667
ZHX3	-0.357833333333333
ERCC5	0.86375
GPR98	-1.163
RXFP3	0.6425
APBB2	0.884
PRO0478	-1.14625
KLHL13	-1.0085
PRSSL1	-0.385166666666667
PDCL3	0.685666666666667
DECR1	-0.20375
SALL1	-3.19183333333333
CADM4	0.553
RPS18	0.745142857142857
HNRPD	-0.528583333333333
CFHR5	0.9094
SLC10A7	0.150125
OR2K2	0.528
LMAN1	-0.496125
SUHW1	-3.126
CHD8	0.0187
SUMO1	0.1849
GP1BA	-0.0292
DDB1	0.2495
MYO9B	-0.2132
MMP7	5.46875
CRNKL1	0.5855
C9orf45	-1.4755
XAB2	0.327375
RTN1	0.80075
KLHL14	-1.2205
TBX10	-0.373
CENPQ	-1.42525
UTY	-0.925538461538462
ZBTB12	0.4625
DTNBP1	-0.72325
KBTBD8	-1.11983333333333
ZEB1	0.107
ZG16	0.87325
MIER1	0.2827
ADAM5P	1.255
CHD9	-0.3419375
STK16	-0.01
KIAA1486	-0.6405
TOB2	1.68233333333333
BANK1	1.85875
OR2V2	-0.212
GRM2	0.0411666666666667
PROSC	0.926125
SPIN2B	-0.1595
PIR	-1.76577777777778
IPO9	-0.4897
EVC	0.363833333333333
CXCL13	6.15283333333333
KIAA1199	0.177
SORL1	0.4845
NAT10	-0.26
CHD1	0.08225
SYN3	-0.23375
SLC22A2	-0.35175
SERPINF1	1.44216666666667
WDR34	-0.05375
OR7A17	0.08525
C9orf11	-0.371
RNF216L	-0.4197
LHB	-0.0935
STK25	-0.662625
TAOK3	-0.04575
LOC152573	-2.54475
C3orf39	0.00275
C14orf108	0.3406
CDC25B	-1.31354545454545
BMP3	0.00749999999999998
TMEM180	-0.059
MAP1LC3C	-0.23075
CRYGC	-0.968
POU3F1	-0.9816
C20orf32	-1.4825
CCDC95	-0.6345
HIGD1B	4.09325
USP6NL	-0.35375
ABCD4	-0.5015
DIMT1L	-0.6245
TEK	0.945625
SLC25A46	-0.706
LARP7	-1.2212
CD160	0.3484
MT1JP	-0.880833333333333
PHF20	-0.116
CPNE4	-1.55225
GTPBP1	0.123714285714286
RAB33B	1.568
ALDOC	-2.595625
ZNF212	-0.09375
NUDT1	-0.8235
RFPL2	-0.70275
ZNF83	-0.265833333333333
GDPD5	-0.991125
PDCD4	1.2508
CEP350	-0.15375
OR10A2	0.43875
CST7	1.43375
CIAO1	-0.86225
SELL	0.126875
OR8J3	0.287
LTBP4	-0.0506666666666667
SIRT6	0.3985
CCL19	3.613
PPIL1	-0.9215
GBP7	0.606666666666667
STK17A	-0.5163
ABR	0.07425
OR9G1	0.5965
FOXE1	-0.320875
CNGA3	0.64
GML	0.2285
CD38	-2.30625
ZDHHC6	0.2025
NEFH	-2.7865
CTDSP2	1.21383333333333
PGBD5	-0.846333333333333
CCNY	0.0610714285714286
RMND5B	0.57075
ZNF257	0.6285
FLJ22167	-0.0405
EXOSC7	-0.5785
ROR2	0.7345
MAOA	0.493875
TNNT3	0.639833333333333
GYPC	-1.383
C7orf33	1.8975
PLIN	1.6225
LOC90826	-0.25275
RNF4	0.0584
F8A1	-0.1745
PLEKHG4	-2.58
GRB2	0.2152
HIST1H2AD	0.872
DUS3L	-0.7635
EIF1	-0.462166666666667
RP5-1077B9.4	-1.25233333333333
FPGT	1.14075
GDF10	-0.161666666666667
COQ9	-0.96525
GCC2	-0.141571428571429
RARRES3	1.13575
PLXNA1	-0.5417
KIAA0100	0.1932
PMF1	-0.18975
FNDC1	5.62175
HS2ST1	0.0424999999999999
CRELD2	1.189
C8G	-1.0095
CD82	0.04925
LIM2	-1.177
UNQ6490	-0.762
MMP16	-0.173
DRD3	-0.17625
C5orf26	0.054
C11orf73	-0.993875
PTP4A2	1.16925
OR4M2	0.756
HPCA	-1.1925
SEC14L1	-0.816333333333333
CHFR	-0.326
EMILIN1	1.190875
NDUFS4	-0.56975
COL18A1	0.360125
PDZD3	0.0295
C9orf16	0.464166666666667
ERBB2IP	0.557166666666667
EMX2	3.306
FUS	-0.7075
TF	-3.7585
CLCN4	-1.0185
CXorf56	-0.94475
C11orf72	0.1505
ELAC2	-0.860916666666667
NPR1	-1.192
ASS1	-2.46883333333333
USP42	0.3435
POLR2J	-1.107
SEC23IP	1.039
UQCRC1	-0.077
LOC729603	-0.26425
C1orf71	-0.4705
POLG	-1.654
ADAM23	-3.05075
TFR2	-0.327
RICTOR	-0.9622
MGC39606	0.2295
C19orf55	-0.38425
SNAPC1	-0.421166666666667
GNA11	1.060875
CCDC52	0.230166666666667
FSIP1	5.7795
UPF3A	0.514125
IGSF11	-1.6475
LAGE3	0.0485
CHST6	-1.549
UNC13B	-0.1955
TTLL4	-1.744125
ZNF687	0.488625
SDC2	0.5397
COX7A2	0.182
LAMB4	-0.187
FAM24A	0.4785
LRRTM3	-1.0238
GPHB5	0.76725
OR4C13	-0.9105
EIF3EIP	-0.502428571428571
HABP4	-0.19
TMEM125	2.94375
CNTN2	0.129875
ASNSD1	-0.884
FUT4	-0.4965
ACF	-3.45275
LOC158381	0.8225
CDH8	-0.366
AGPS	-1.22983333333333
C4orf18	2.889375
PECI	-1.39733333333333
UNG	-0.997375
GSTP1	-2.238875
DCUN1D5	-2.0355
DKFZP564J0863	-1.588
SLC9A3R1	2.112875
BCDO2	-1.222
CHMP7	-0.715375
REM2	1.2385
DNHD1	-0.353125
FKBP4	0.4835
ZNF350	1.8795
MGC11102	0.58375
BST1	0.76525
KISS1R	1.904
NCR2	0.1325
DEFB125	0.186
UBE2W	0.647875
KRT15	-0.56
C10orf99	-0.0155
SCN11A	0.313625
GFI1	-2.44325
RDHE2	2.74983333333333
FHL1	-0.845833333333333
OSGEP	0.118
GATA1	-2.888
SMC6	-1.577
TTTY14	-1.0275
LPIN3	-0.09625
RPL4	-0.4945
RBPMS	0.2049
PRPF3	-0.625166666666667
EMR1	-1.348
SPATA19	-0.2165
XCR1	0.431
IRX3	1.6542
RBM6	-0.922
KLF4	-0.729
UNC5CL	-1.39775
SEBOX	0.1535
BTK	-0.775
KRCC1	1.512
C6orf27	0.4265
SYTL5	0.428
PRND	2.639125
LOC653319	-1.629
PIGL	-1.743875
HUS1	-0.202833333333333
SFRS6	0.701333333333333
C17orf77	0.452
UIMC1	0.0916666666666667
FXYD2	-1.4154
LOC283152	-0.46825
ZNF667	0.7625
ZCCHC12	-0.20575
TFEC	1.8667
ATP7B	1.14916666666667
POLD2	-0.884666666666667
RG9MTD1	0.1635
ACOT2	0.602333333333333
HIST1H4I	0.79625
PPARGC1A	-1.8794
ETFA	-1.6634
POLRMT	-0.16225
ZNF146	0.37975
MIA2	-1.7705
KLHL6	-1.17733333333333
HOXB5	-0.83975
NENF	0.004
CUGBP1	0.74425
PRSS22	1.53183333333333
CASC4	1.8076
CUL4B	0.1185
CENPJ	-0.7939
PITX1	-0.452333333333333
FLJ31033	0.981666666666667
CELSR3	-0.746166666666667
ZNF568	0.28975
ITSN1	-0.241333333333333
EHBP1L1	-0.944333333333333
C19orf2	-0.652
DCTN1	0.17775
LIN28B	-2.937
TNKS2	0.301
C1QBP	-0.97575
CADPS2	1.75125
SRMS	0.06225
GJA9	0.272833333333333
MGC24975	-0.631666666666667
TRIM45	-0.866
TSP50	-0.682
TCP1	-0.70975
TMED7	0.4977
CMA1	0.503
CENPL	-0.894333333333333
PTCRA	0.1695
FST	-3.181
VWCE	-3.51975
PAWR	-0.151
ABCC12	0.4826
LDLR	-0.7933
ASTN2	1.837
LOC441212	-1.101625
GPATCH8	-0.28925
TANC2	-0.65175
KIF4A	-0.817
C18orf18	-2.28075
PGM1	-1.924
KIAA0258	1.031
CPD	0.566625
SNCAIP	-1.38125
DCT	-3.78383333333333
HLA-DOA	1.98118181818182
OR11L1	0.69
UPK1B	-0.456333333333333
DNAJB4	-0.508625
UGT1A8	-0.94225
HIST1H4L	-1.4655
PECR	-1.88916666666667
HSPA2	1.0175
WFIKKN1	-0.4025
SERP1	1.108375
SYDE2	2.89125
TACR2	0.7815
NUP85	-0.7315
CD177	-0.199166666666667
LGR5	-1.27183333333333
PIGG	-0.381666666666667
PTHR1	-1.98716666666667
RAB5A	0.8723
FLJ13224	-0.2655
USP9Y	-1.78116666666667
C7orf53	0.082
LRP1B	-0.37725
XAF1	1.5434
ABCG8	0.096
ANKDD1A	-0.510666666666667
DAND5	-2.39
SPAG6	0.0532
LINCR	0.937
ZDHHC22	1.492
CCDC60	0.754
THOC7	-1.02833333333333
TCTA	0.3021
OR8K3	0.345
NY-REN-7	-0.362666666666667
B2M	1.13783333333333
C6orf141	-0.07525
LPPR4	3.118
SQLE	0.16175
SEPHS1	-0.46825
BTBD14B	0.652428571428571
PLRG1	-0.36775
SPG7	-0.878875
ZNF614	-0.3775
PARD6G	1.10933333333333
INPP5B	-0.7452
GRPEL2	-0.049
PPID	-0.504
TRIM56	-0.3335
UBE2J1	-0.5845
IL20RA	5.09525
LOC387856	0.81325
C1orf107	0.425916666666667
UTS2R	1.687
C19orf22	0.4735
SAFB2	-0.043375
KIAA0652	0.3245
KLRG1	-0.566166666666667
MS4A8B	4.99616666666667
FRAG1	0.227
KIAA1546	0.568
E2F4	-1.4422
CLEC4M	0.764833333333333
BTBD14A	-0.93525
KIAA0999	0.8927
GYPA	-2.82066666666667
TAC1	4.0612
TRAIP	-1.466
KIAA0232	1.124
ERCC8	-1.802625
GPX4	0.912375
KIAA0368	0.468125
GPR157	-0.799
CTAGE4	0.777
C9orf30	-1.05766666666667
OR52A1	0.4335
HSP90B3P	-0.188
ALG9	-0.9361
BTBD10	1.15925
SDK2	0.17975
BAIAP3	0.5535
RABGGTB	-1.0055
ANKRD40	-0.236833333333333
KRT74	0.3225
CALCOCO2	0.946428571428571
SNCA	-3.267
TMSL8	-3.425
C2orf53	0.7315
ESRRB	-0.23675
ARHGAP26	-1.397875
TDRD9	-2.568
HRAS	0.7405
KLRC4	-1.758
JAGN1	-0.0688333333333333
BSDC1	0.2705
RNF43	-0.1541
NDUFAF1	0.363
PHF12	0.466
OR1L3	0.1735
FOLR2	1.01483333333333
LYZL6	-0.292
tcag7.1260	-2.188
WSB1	-1.8275
PROS1	-0.8188
OSTN	0.257
PSMB8	0.47775
SOCS4	0.2395
DDIT4L	4.761
MAS1	-0.297
MGC34796	1.58325
CSHL1	0.313333333333333
TBCCD1	0.220666666666667
ZBTB7C	0.377
AP2S1	-0.204625
P15RS	-0.00370000000000001
VAT1	-0.605
SHANK3	0.929166666666667
TUFM	-0.416
THEG	-0.265
KRT34	-0.95375
SGSM3	0.398875
TOMM22	-0.376125
SOCS3	1.35633333333333
CPO	0.353
POP4	0.10075
BHLHB3	1.421
MALL	0.5695
OR1B1	0.5195
PARK2	0.410833333333333
GPR124	0.2695
LCE1E	0.264
RUVBL2	-0.274
CGRRF1	0.6937
ACPL2	0.22175
WNT10B	-1.66225
BAIAP2L2	-1.652375
ISCA1	0.4655
C1orf125	-0.2635
RPAP1	-0.734
RAI16	-1.1405
RPL27	-0.776375
NLRP9	-0.00850000000000001
EPN1	0.158
LOC388610	-1.443375
SLC35A1	0.1515
GAL	-3.19
SLC14A2	0.19825
RDH11	-0.930333333333333
FAM138F	0.032
AUH	0.19125
FLJ40243	0.1475
C14orf129	0.439833333333333
MBD2	-0.125
ABHD14B	0.203375
PIGT	0.376875
ALS2CR4	-1.018125
ALAS1	-0.3562
FOXO1	1.64483333333333
CRLF3	-0.875125
C20orf107	0.4735
FARS2	0.27175
CCDC28A	1.484
NPHP3	-0.97775
OR13F1	0.568
TSEN54	-0.12225
DEFB106B	0.4508
OR8B4	0.4345
STH	0.9725
ZC3H14	-0.716
CBX2	0.3045
TMEM49	-1.71175
C6orf21	0.585
FLJ20920	0.949
CRTAP	-0.600785714285714
DDX50	0.0255
STYXL1	0.0085
BLVRB	-0.220666666666667
LOC147650	-0.674666666666667
MMP24	-0.575
GRID1	1.6544
BANF1	0.117666666666667
CTAGEP	0.62225
HMBS	-2.5105
SLC25A24	-0.400166666666667
C14orf50	1.02425
MRO	0.545666666666667
SLC25A15	0.48325
FAM84B	1.7349
TDP1	-1.173
C16orf78	0.0143333333333333
C11orf57	0.081125
RFK	-0.253625
ZFYVE9	-1.05842857142857
STCH	-0.2109
WIBG	-0.08375
LOC283871	-0.4685
GBA2	-0.6009
