Hybridization REF	TCGA-BH-A0B3-01A-11R-A056-07
Composite Element REF	log2 lowess normalized (cy5/cy3) collapsed by gene symbol
ELMO2	-0.07525
CREB3L1	0.6665
RPS11	0.306
PNMA1	-0.234
MMP2	1.30083333333333
C10orf90	-2.32275
ZHX3	-0.233
ERCC5	-0.33375
GPR98	-2.385625
RXFP3	0.459
APBB2	0.3595
PRO0478	-1.055875
KLHL13	-2.35825
PRSSL1	-0.893
PDCL3	0.349
DECR1	-0.28325
SALL1	-3.27716666666667
CADM4	1.2295
RPS18	-0.360642857142857
HNRPD	-0.673666666666667
CFHR5	1.00475
SLC10A7	-0.352875
OR2K2	-0.09
LMAN1	-0.06625
SUHW1	-2.30275
CHD8	-0.1824
SUMO1	0.3484
GP1BA	0.2228
DDB1	-0.0673333333333333
MYO9B	0.2562
MMP7	7.98475
CRNKL1	-0.47975
C9orf45	-1.99733333333333
XAB2	-0.055375
RTN1	0.9975
KLHL14	-1.835375
TBX10	-0.9515
CENPQ	-0.0275
UTY	-1.23778571428571
ZBTB12	0.0665
DTNBP1	0.5375
KBTBD8	-0.5905
ZEB1	-0.0568333333333333
ZG16	-1.6635
MIER1	0.8112
ADAM5P	0.625
CHD9	-0.0705625
STK16	0.11175
KIAA1486	-1.0035
TOB2	0.738083333333333
BANK1	3.6225
OR2V2	-0.38075
GRM2	-0.124666666666667
PROSC	-0.098375
SPIN2B	-0.06525
PIR	-0.629555555555556
IPO9	-0.3383
EVC	1.09116666666667
CXCL13	6.40416666666667
KIAA1199	-0.7578
SORL1	0.25875
NAT10	-0.4065
CHD1	-1.02575
SYN3	-0.396
SLC22A2	-0.36375
SERPINF1	0.363666666666667
WDR34	-0.33275
OR7A17	0.21075
C9orf11	-0.835
RNF216L	-0.2991
LHB	0.3275
STK25	-0.223375
TAOK3	1.055125
LOC152573	-2.60975
C3orf39	0.525625
C14orf108	-0.7682
CDC25B	0.0438181818181818
BMP3	-0.162
TMEM180	-0.1935
MAP1LC3C	0.19975
CRYGC	-0.2605
POU3F1	-1.1082
C20orf32	-1.8695
CCDC95	0.131
HIGD1B	3.3495
USP6NL	1.066625
ABCD4	-1.16666666666667
DIMT1L	-1.10291666666667
TEK	0.384875
SLC25A46	-0.75575
LARP7	-1.9089
CD160	0.566666666666667
MT1JP	0.451666666666667
PHF20	-0.731
CPNE4	-2.511
GTPBP1	-0.184928571428571
RAB33B	1.15816666666667
ALDOC	-2.22075
ZNF212	-0.1455
NUDT1	-0.0731666666666667
RFPL2	-0.64675
ZNF83	-0.739166666666667
GDPD5	-0.21875
PDCD4	-0.1848
CEP350	0.4795
OR10A2	0.4685
CST7	1.16725
CIAO1	-0.15325
SELL	1.302375
OR8J3	-0.2965
LTBP4	0.144666666666667
SIRT6	0.19375
CCL19	4.88775
PPIL1	-0.366333333333333
GBP7	0.138166666666667
STK17A	-0.4646
ABR	0.44
OR9G1	0.5965
FOXE1	-0.688375
CNGA3	-0.3475
GML	0.6215
CD38	1.0375
ZDHHC6	-0.32
NEFH	0.508
CTDSP2	0.359416666666667
PGBD5	1.36166666666667
CCNY	0.553928571428571
RMND5B	0.0375
ZNF257	-1.3345
FLJ22167	-0.68025
EXOSC7	-0.463
ROR2	1.710625
MAOA	-1.440125
TNNT3	0.0805
GYPC	-0.294
C7orf33	0.8565
PLIN	2.99933333333333
LOC90826	-1.153
RNF4	-0.3926
F8A1	1.14016666666667
PLEKHG4	-0.20675
GRB2	0.287
HIST1H2AD	1.28775
DUS3L	-0.3685
EIF1	-0.3295
RP5-1077B9.4	-0.149
FPGT	1.1195
GDF10	-1.2665
COQ9	-0.307
GCC2	-0.0617142857142857
RARRES3	2.948125
PLXNA1	-0.1347
KIAA0100	-0.3484
PMF1	1.36675
FNDC1	5.93225
HS2ST1	0.510916666666667
CRELD2	1.30225
C8G	-0.477
CD82	1.78925
LIM2	-1.436
UNQ6490	-0.789
MMP16	-0.277
DRD3	-0.027
C5orf26	-1.972
C11orf73	-0.039
PTP4A2	0.322625
OR4M2	0.787
HPCA	-0.451666666666667
SEC14L1	-0.450333333333333
CHFR	0.724
EMILIN1	1.516
NDUFS4	-1.23
COL18A1	0.551125
PDZD3	-0.3336
C9orf16	-0.00766666666666667
ERBB2IP	-0.448666666666667
EMX2	2.911
FUS	-0.741
TF	-3.9106
CLCN4	1.2345
CXorf56	0.06375
C11orf72	0.64925
ELAC2	0.310916666666667
NPR1	-1.1945
ASS1	-0.701833333333333
USP42	-0.1655
POLR2J	-0.8415
SEC23IP	-0.134
UQCRC1	0.33275
LOC729603	-0.45625
C1orf71	-0.547375
POLG	-1.07
ADAM23	-3.6965
TFR2	-0.83625
RICTOR	-1.5825
MGC39606	1.1315
C19orf55	-0.040125
SNAPC1	-1.203
GNA11	0.73
CCDC52	-1.20983333333333
FSIP1	-1.3865
UPF3A	-0.552875
IGSF11	-2.62483333333333
LAGE3	0.86075
CHST6	-2.1395
UNC13B	0.010625
TTLL4	0.693375
ZNF687	1.366875
SDC2	1.7613
COX7A2	-0.3615
LAMB4	-0.207
FAM24A	0.298
LRRTM3	-0.922
GPHB5	0.0555
OR4C13	-0.485
EIF3EIP	-0.6695
HABP4	-0.051
TMEM125	3.4265
CNTN2	0.337625
ASNSD1	-0.0695
FUT4	0.751125
ACF	-3.7795
LOC158381	0.5345
CDH8	-0.069
AGPS	-0.15
C4orf18	0.76225
PECI	-0.938166666666667
UNG	0.137375
GSTP1	0.13475
DCUN1D5	-0.722
DKFZP564J0863	0.05675
SLC9A3R1	0.618875
BCDO2	-1.09725
CHMP7	-0.056125
REM2	-0.0285
DNHD1	-0.727375
